"id";"Hiippakunta";"HPK_koodi";"Kunta";"Kunta_nro";"Rovastikunta";"RVK_koodi";"Seurakunta";"Seurakuntatalous";"SRK_koodi";"SRKT_koodi"
407;"Helsinki";"H00008";"LOVIISA";"434";"Porvoo";"R00077";"Loviisan suom";"Loviisanseudun srky-Lovisanejdens ksamf";"000017";"004006"
408;"Helsinki";"H00008";"LOVIISA";"434";"Porvoo";"R00077";"Ruotsinpyhtää-Strömfors";"Loviisanseudun srky-Lovisanejdens ksamf";"000331";"004006"
409;"Espoo";"H00009";"ESPOO";"49";"Espoon tuomiorvk";"R00074";"Espoon Tuomiokirkko";"Espoon ev.lut.srky-Esbo ev.luth.ksamf";"000004";"000801"
410;"Espoo";"H00009";"ESPOO";"49";"Espoon tuomiorvk";"R00074";"Leppävaara";"Espoon ev.lut.srky-Esbo ev.luth.ksamf";"000005";"000801"
411;"Espoo";"H00009";"ESPOO";"49";"Espoon tuomiorvk";"R00074";"Espoon ev.lut.srky-Esbo ev.luth.ksamf";"Espoon ev.lut.srky-Esbo ev.luth.ksamf";"000801";"000801"
412;"Espoo";"H00009";"KIRKKONUMMI";"257";"Espoon tuomiorvk";"R00074";"Kirkkonummen suom";"Kirkkonummen srky-Kyrkslätts ksamf";"000014";"000814"
413;"Espoo";"H00009";"KIRKKONUMMI";"257";"Espoon tuomiorvk";"R00074";"Kirkkonummen srky-Kyrkslätts ksamf";"Kirkkonummen srky-Kyrkslätts ksamf";"000814";"000814"
414;"Espoo";"H00009";"KAUNIAINEN";"235";"Espoon tuomiorvk";"R00074";"Kauniaisten suom";"Kauniaisten srky-Grankulla ksamf";"000575";"000846"
415;"Espoo";"H00009";"KAUNIAINEN";"235";"Espoon tuomiorvk";"R00074";"Kauniaisten srky-Grankulla ksamf";"Kauniaisten srky-Grankulla ksamf";"000846";"000846"
416;"Espoo";"H00009";"LOHJA";"444";"Lohja";"R00075";"Lohja";"Lohja";"000016";"000016"
417;"Espoo";"H00009";"KARKKILA";"224";"Lohja";"R00075";"Karkkila";"Karkkila";"000028";"000028"
418;"Espoo";"H00009";"VIHTI";"927";"Lohja";"R00075";"Vihti";"Vihti";"000031";"000031"
419;"Espoo";"H00009";"HANKO";"78";"Lohja";"R00075";"Hangon suom";"Hangö ksamf-Hangon srky";"000007";"000804"
420;"Espoo";"H00009";"SIUNTIO";"755";"Lohja";"R00075";"Siuntion suom";"Siuntion srky-Sjundeå ksamf";"000648";"000866"
421;"Espoo";"H00009";"SIUNTIO";"755";"Lohja";"R00075";"Siuntion srky-Sjundeå ksamf";"Siuntion srky-Sjundeå ksamf";"000866";"000866"
422;"Espoo";"H00009";"RAASEPORI";"710";"Lohja";"R00075";"Raaseporin suom";"Raseborgs ksamf-Raaseporin srky";"001021";"004002"
423;"Espoo";"H00009";"JÄRVENPÄÄ";"186";"Tuusula";"R00076";"Järvenpää";"Järvenpää";"000011";"000011"
424;"Espoo";"H00009";"KERAVA";"245";"Tuusula";"R00076";"Kerava";"Kerava";"000013";"000013"
425;"Espoo";"H00009";"TUUSULA";"858";"Tuusula";"R00076";"Tuusula";"Tuusula";"000030";"000030"
426;"Espoo";"H00009";"HYVINKÄÄ";"106";"Nurmijärvi";"R00078";"Hyvinkää";"Hyvinkää";"000010";"000010"
427;"Espoo";"H00009";"MÄNTSÄLÄ";"505";"Nurmijärvi";"R00078";"Mäntsälä";"Mäntsälä";"000019";"000019"
428;"Espoo";"H00009";"NURMIJÄRVI";"543";"Nurmijärvi";"R00078";"Nurmijärvi";"Nurmijärvi";"000021";"000021"
429;"Espoo";"H00009";"ESPOO";"49";"Tapiola";"R00079";"Tapiola";"Espoon ev.lut.srky-Esbo ev.luth.ksamf";"000006";"000801"
430;"Espoo";"H00009";"ESPOO";"49";"Tapiola";"R00079";"Espoonlahti";"Espoon ev.lut.srky-Esbo ev.luth.ksamf";"000571";"000801"
431;"Espoo";"H00009";"ESPOO";"49";"Tapiola";"R00079";"Olari";"Espoon ev.lut.srky-Esbo ev.luth.ksamf";"000572";"000801"
